uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
151,https://www.naukri.com/job-listings-HR-Partner-On-Contract-Flipkart-Binola-haryana-Location-Flipkart-Internet-Private-Limited-Gurgaon-1-to-2-years-230517009059?src=jobsearchDesk&sid=14965021182418&xp=2,HR Partner- On Contract @ Flipkart Binola(haryana) Location,HR Partner- On Contract @ Flipkart Binola(haryana) Location,Flipkart Internet Private Limited,Gurgaon,1-2 yrs,HR- Hiring- Business partner- HR activities,We are hiring for (HR partner) from Haryana Binola- who can join us immediately.   This is an ...,150000 - 350000 P.A.,1
152,https://www.naukri.com/job-listings-Blue-Collar-HR-Recruiter-H-R-international-Delhi-Maharani-Bagh-3-to-5-years-020617002024?src=jobsearchDesk&sid=14965021182418&xp=3,Blue Collar HR Recruiter,Blue Collar HR Recruiter,H.R. international,Delhi(Maharani Bagh),3-5 yrs,Training- HR- Placement- Career Development- Personality Development- Skill...,Job Description  1.Min 3-4 years experience in Blue Collar recruitment(i.e. Labour Recruitment ...,Not disclosed,1
153,https://www.naukri.com/job-listings-HR-Executuve-Sr-HR-Generalist-Human-Resource-Dept-Graduate-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-020617002007?src=jobsearchDesk&sid=14965021182418&xp=4,HR Executuve /Sr HR Generalist ( Human Resource Dept )- Graduate,HR Executuve /Sr HR Generalist ( Human Resource Dept )- Graduate,SLA Consultants India,Delhi NCR- Gurgaon- Noida,0-5 yrs,HR Executive- hr generalist- hr manager- hr officer- Payroll HR Executive...,Kindly find the job details    HR / Career Development Manager @ - 7503595260 ...,225000 - 550000 P.A.,1
154,https://www.naukri.com/job-listings-Immediate-Opening-for-HR-Generalist-Support-for-Chennai-Location-Innova-Solutions-Private-Limited-Chennai-0-to-2-years-020617001553?src=jobsearchDesk&sid=14965021182418&xp=5,Immediate Opening for HR Generalist / Support  for Chennai Location,Immediate Opening for HR Generalist / Support  for Chennai Location,Innova Solutions Private Limited,Chennai,0-2 yrs,HR- HR Generalist- HR Support- HR Documentation- HR Executive,Looking preferably for female candidates Hindi Speaking Must     Exp : 0 ...,Not disclosed,1
155,https://www.naukri.com/job-listings-HR-Coordinator-Premium-Hospitality-Brand-Mumbai-Patna-Smart-Source-Mumbai-Patna-1-to-4-years-020617001539?src=jobsearchDesk&sid=14965021182418&xp=6,HR Coordinator - Premium Hospitality Brand - Mumbai/ Patna,HR Coordinator - Premium Hospitality Brand - Mumbai/ Patna,Smart Source,Mumbai- Patna,1-4 yrs,HR Coordination- generalist coordination, Job Responsibilities :-     1. Sourcing resumes from job portals-placemen ...,150000 - 175000 P.A. Best in the Industry,1
156,https://www.naukri.com/job-listings-Looking-to-hire-a-Sr-Executive-asst-manager-for-an-HR-Operations-Role-Career-Catalysts-HRC-Pvt-Ltd-Mumbai-2-to-4-years-020617001378?src=jobsearchDesk&sid=14965021182418&xp=7,Looking to hire a Sr Executive/asst.manager for an HR Operations Role,Looking to hire a Sr Executive/asst.manager for an HR Operations Role,Career Catalysts HRC Pvt. Ltd.,Mumbai,2-4 yrs,HR Analytics- HR Operations- Hiring- dashboards,DESIGNATION: Senior Executive/Assistant Manager DEPARTMENT: Human Resource WORK EXPERIENCE: 2-4 ...,Not disclosed,1
157,https://www.naukri.com/job-listings-Hiring-for-HR-Coordinator-team-Leader-for-BPO-Recruitment-West-Delhi-The-Vertical-Delhi-2-to-5-years-020617001377?src=jobsearchDesk&sid=14965021182418&xp=8,Hiring for HR Coordinator/team Leader for BPO Recruitment@ West Delhi,Hiring for HR Coordinator/team Leader for BPO Recruitment@ West Delhi,The Vertical Recruiters,Delhi,2-5 yrs,Hiring- HR Coordination- Recruitment- Team Handling- Target Achievement..., ,150000 - 300000 P.A.,1
158,https://www.naukri.com/job-listings-Walk-in-for-HR-Executive-generalist-Role-at-BSL-gurgaon-Binary-Semantics-Limited-Gurgaon-1-to-2-years-020617001211?src=jobsearchDesk&sid=14965021182418&xp=9,Walk-in for HR Executive (generalist Role) at BSL (gurgaon).,Walk-in for HR Executive (generalist Role) at BSL (gurgaon).,Binary Semantics Limited,Gurgaon,1-2 yrs,HR- Induction- Orientation- Joining Formalities- Training- generalist...,  JD  :    Will be responsible for issuing / preparing offer letter- Appraisal ...,200000 - 225000 P.A. (salary will depend upon inter...,1
159,https://www.naukri.com/job-listings-Urgent-Vacancy-for-HR-Recruiter-chennai-Hotel-Industry-TeamLease-Services-Ltd-Chennai-Thiyagaraya-Nagar-2-to-7-years-010617005472?src=jobsearchDesk&sid=14965021182418&xp=10,Urgent Vacancy for HR Recruiter-chennai Hotel Industry,Urgent Vacancy for HR Recruiter-chennai Hotel Industry,TeamLease Services Ltd.,Chennai(Thiyagaraya Nagar),2-7 yrs,Bulk Hiring- Recruitment- HR- Marketing- Sales,Hi All-  Candidates who are having experience in & as recruitment  -who have done bulk ...,300000 - 550000 P.A.,1
160,https://www.naukri.com/job-listings-HR-Recruiter-at-Thomson-Reuters-Thomson-Reuters-International-Services-Pvt-Ltd-Mumbai-0-to-1-years-020617001435?src=jobsearchDesk&sid=14965021182418&xp=11,HR Recruiter at Thomson Reuters,HR Recruiter at Thomson Reuters,Thomson Reuters International Services Pvt Ltd,Mumbai,0-1 yrs,Recruitment and Staffing- Screening- sourcing- recruitment- head hunting..., Dear Candidate-  Greetings from Thomson Reuters.  Job Description: ...,Not disclosed,1
