link, desig, details, org, loc, exp, keyskills, descl, salary 
https://www.naukri.com/job-listings-Test-Data-Management-Lead-SQS-India-BFSI-Limited-Chennai-7-to-10-years-230517008426?src=jobsearchDesk&sid=14955528596374&xp=32,Test Data Management - Lead,Test Data Management - Lead,SQS India BFSI Limited,Chennai,7-10 yrs,Oracle SQL SQL Server Teradata Informatica ETL Talend Ab Initio...,    SQS INDIA BFSI Ltd is Hiring for TDM(Test Data Management)Lead with 7 - 10 Years ...,Not disclosed
https://www.naukri.com/job-listings-Openings-for-MNC-Client-hyderabad-and-Pune-Right-Avenue-Infotech-Private-Limited-Pune-Hyderabad-3-to-8-years-230517008428?src=jobsearchDesk&sid=14955528596374&xp=33,Openings for MNC Client (hyderabad and Pune),Openings for MNC Client (hyderabad and Pune),Right Avenue Infotech Private Limited,Pune Hyderabad,3-8 yrs,Automation Testing Selenium Cucumber API Testing Grid SOAP UI Maven...,Job Details:- Job Type : Full time   Skills :    Work Location: ...,Not disclosed
https://www.naukri.com/job-listings-Urgent-Opening-For-Net-Developer-Business-arts-India-Pvt-Ltd-Hyderabad-4-to-7-years-230517008423?src=jobsearchDesk&sid=14955528596374&xp=34,Urgent Opening For .Net Developer,Urgent Opening For .Net Developer,Business arts India Pvt. Ltd.,Hyderabad,4-7 yrs,java spring hibernate Big Data,,Not disclosed
https://www.naukri.com/job-listings-Obiee-Consultant-Developer-Pylon-Management-Consulting-Pvt-Ltd-Bengaluru-4-to-7-years-230517008414?src=jobsearchDesk&sid=14955528596374&xp=35,Obiee Consultant / Developer,Obiee Consultant / Developer,Pylon Management Consulting Pvt Ltd,Bengaluru,4-7 yrs,SQL Oracle Database 11G PLSQL PL Performance Tuning OBIEE ETL RPD...,Hi  Hiring for OBIEE Consultant / developer for a CMM level 5 professional service company for ...,Not disclosed
https://www.naukri.com/job-listings-Opening-for-Sap-ISU-Bangalore-Location-Frontier-Business-Systems-Private-Limited-Bengaluru-Devanahalli-1-3-to-6-years-230517008418?src=jobsearchDesk&sid=14955528596374&xp=36,Job Opening for Sap ISU- Bangalore Location,Job Opening for Sap ISU- Bangalore Location,Frontier Business Systems Private Limited,Bengaluru(Devanahalli+1),3-6 yrs,SAP ISU Plant Maintenance Fica Functional Consultancy Device Mgt...,Dear all  We have an urgent requirements for one of out MNC client   Candidate who has ...,Not disclosed
https://www.naukri.com/job-listings-Walk-in-For-Executive-Talent-Acquisition-Indegene-Private-Limited-Bengaluru-Hebbal-0-to-1-years-180517004242?src=jobsearchDesk&sid=14955528596374&xp=37,Walk in For Executive - Talent Acquisition,Walk in For Executive - Talent Acquisition,Indegene Private Limited,Bengaluru(Hebbal),0-1 yrs,Recruitment Screening Interviewing Candidates Sourcing Hiring Staffing...,1.    Work closely with Hiring Managers to understand overall needs and requirements. (Job Description ...,Not disclosed
https://www.naukri.com/job-listings-SQL-DBA-Pramati-Technologies-Bangalore-Pramati-Technologies-P-Ltd-Bengaluru-5-to-9-years-310317004341?src=jobsearchDesk&sid=14955528596374&xp=38,SQL DBA- Pramati Technologies Bangalore,SQL DBA- Pramati Technologies Bangalore,Pramati Technologies (P) Ltd,Bengaluru,5-9 yrs,Mirroring Replication High Availability T - SQL SQL DBA Restore...,,Not disclosed
https://www.naukri.com/job-listings-Information-Technology-MIS-Storage-and-Backup-Administration-Marvell-India-Pvt-Ltd-Bengaluru-5-to-8-years-240417900671?src=jobsearchDesk&sid=14955528616707&xp=1,Information Technology /  MIS - Storage and Backup Administration,Information Technology /  MIS - Storage and Backup Administration,Marvell India Pvt Ltd,Bengaluru,5-8 yrs,Customer service Unix Windows Solaris Shell scripting Automation...,,Not disclosed
https://www.naukri.com/job-listings-General-Manager-Information-Technology-Shahi-Exports-Pvt-Ltd-Faridabad-15-to-25-years-140417003520?src=jobsearchDesk&sid=14955528616707&xp=2,General Manager - Information Technology,General Manager - Information Technology,Shahi Exports Pvt Ltd.,Faridabad,15-25 yrs,GM IT Information Technology Software Development Life Cycle...,As GM -IT you will be responsible for designing new IT solutions modify enhance and  adapt existing ...,Not disclosed
https://www.naukri.com/job-listings-Software-Support-Engineer-Netpro-Infotech-Mumbai-Mumbai-Suburbs-0-to-0-years-220517000370?src=jobsearchDesk&sid=14955528616707&xp=3,Software Support Engineer,Software Support Engineer,Netpro Infotech,Mumbai Mumbai Suburbs,0-0 yrs,IT fresher it trainee it fresher  information technology trainee,,175000 P.A.
