link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Finance-Analyst-Redcentric-Solutions-Private-Limited-Hyderabad-Kukatpally-0-to-3-years-010218007983?src=jobsearchDesk&sid=15217233626046&xp=39&px=59,Finance Analyst,Finance Analyst,Redcentric Solutions Private Limited,Hyderabad(Kukatpally),0-3 yrs,product portfolio- it security- Advanced Excel- Billing- Contracts..., THE ROLE   This is a fantastic opportunity based from our office in Hyderabad. This key ...,700000 - 900000 P.A.,2018-03-22,0,3,700000,900000
https://www.naukri.com/job-listings-Demand-Generation-Manager-US-Sales-Crave-Infotech-Consultancy-Services-Pvt-Ltd-Pune-4-to-9-years-010218001233?src=jobsearchDesk&sid=15217233626046&xp=40&px=59,Demand Generation Manager (US Sales),Demand Generation Manager (US Sales),Crave Infotech & Consultancy Services Pvt. Ltd.,Pune,4-9 yrs,demand generation- lead generation- us shift- cold calling- usa shift..., ,Not disclosed,2018-03-22,4,9,0,0
https://www.naukri.com/job-listings-Lead-Recruiter-NON-IT-US-Staffing-Iflate-Softsystems-India-Private-Limited-Hyderabad-7-to-12-years-301117008105?src=jobsearchDesk&sid=15217233626046&xp=41&px=59,Lead Recruiter - NON IT (US Staffing),Lead Recruiter - NON IT (US Staffing),Iflate Softsystems India Private Limited,Hyderabad,7-12 yrs,us staffing- non it recruiter- us recruiter- , ,700000 - 900000 P.A. Salary + Medical Insurance + d...,2018-02-26,7,12,700000,900000
https://www.naukri.com/job-listings-HR-Manager-IT-KPO-Cogneesol-Pvt-Ltd-Mohali-Chandigarh-3-to-8-years-300118008070?src=jobsearchDesk&sid=15217233626046&xp=42&px=59,HR Manager - IT / KPO,HR Manager - IT / KPO,Cogneesol Pvt Ltd,Mohali- Chandigarh,3-8 yrs,HR Processes- Recruitment- Employee Engagement- Human Resource Management..., ,Not disclosed,2018-02-22,3,8,0,0
https://www.naukri.com/job-listings-Corporate-Opportunity-for-US-IT-Recruiter-DATA-SOFTWARE-RESEARCH-COMPANY-PRIVATE-LIMITED-Chennai-1-to-4-years-280917006525?src=jobsearchDesk&sid=15217233626046&xp=43&px=59,Corporate Opportunity  for  US IT Recruiter ,Corporate Opportunity  for  US IT Recruiter ,DATA SOFTWARE RESEARCH COMPANY PRIVATE LIMITED,Chennai,1-4 yrs,us it recruitment- talent acquisition- us shift, DSRC  provides competitive compensation that is revised purely on performance- Scope for ...,Not disclosed,2018-02-27,1,4,0,0
https://www.naukri.com/job-listings-Bench-Sales-US-IT-Recruiter-Mindteck-India-Ltd-Bengaluru-3-to-5-years-280417001987?src=jobsearchDesk&sid=15217233626046&xp=44&px=59,Bench Sales US IT Recruiter,Bench Sales US IT Recruiter,Mindteck (India) Ltd,Bengaluru,3-5 yrs,US IT Recruitment- Bench Sales- Screening- Marketing Strategy...,Demonstrate ability to handle technical discussions with prospects - Good understanding of ...,Not disclosed,2018-02-23,3,5,0,0
https://www.naukri.com/job-listings-US-IT-Gurgaon-Urgent-Requirement-ADEPTEC-INFOSOLUTION-P-LTD-Gurgaon-1-to-4-years-280218007190?src=jobsearchDesk&sid=15217233626046&xp=45&px=59,US IT Recruiters - Gurgaon  - Urgent Requirement,US IT Recruiters - Gurgaon  - Urgent Requirement,ADEPTEC INFOSOLUTION (P) LTD,Gurgaon,1-4 yrs,us it recruitment- hiring- staffing- us staffing- us recruiter- dice- w2..., ,200000 - 475000 P.A.,2018-02-28,1,4,200000,475000
https://www.naukri.com/job-listings-Lead-IT-Recruiter-Advansoft-International-Ltd-Hyderabad-2-to-5-years-270218007645?src=jobsearchDesk&sid=15217233626046&xp=46&px=59,Lead IT Recruiter,Lead IT Recruiter,Advansoft International Ltd,Hyderabad,2-5 yrs,IT Recruitment- Contract Staffing- C2H- Client Interaction- Team Handling..., ,175000 - 400000 P.A.,2018-02-27,2,5,175000,400000
https://www.naukri.com/job-listings-System-Analyst-Next-World-Immigration-Services-Associates-New-Delhi-India-Australia-Canada-Hong-Kong-1-to-6-years-030416000930?src=jobsearchDesk&sid=15217233626046&xp=47&px=59,System Analyst,System Analyst,Next World Immigration Services Associates New Delhi India.,Australia- Canada- Hong Kong,1-6 yrs,database analyst - internet security- business analyst- system analyst..., ,Not disclosed,2018-03-22,1,6,0,0
https://www.naukri.com/job-listings-Specialist-IT-L2-Application-Support-Syneos-Health-Hyderabad-2-to-5-years-300118007203?src=jobsearchDesk&sid=15217233626046&xp=48&px=59,Specialist IT (L2 - Application Support),Specialist IT (L2 - Application Support),Syneos Health,Hyderabad,2-5 yrs,it service desk- application management- production support- CRO- Syneos...,  Gain technical knowledge to support multiple- business-critical applications. ...,Not disclosed,2018-03-06,2,5,0,0
