Brand, Product_name, Price, Shipping 
Acer America,Acer All-in-One Computer Aspire C22-860-UR11 Intel Core i3 7th Gen 7100U (2.40 GHz) 4 GB DDR4 1 TB HDD 21.5" Windows 10 Home 64-Bit,$499.99,$9.99 Shipping
ASUS,ASUS Desktop Computer VivoMini VC66-B019Z Intel Core i7 7th Gen 7700 (3.60 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$699.99,Free Shipping
ECS (EliteGroup),ECS LIVA Z Mini PC Intel Apollo Lake N4200 SOC Dual LAN 4GB DDR3L 32GB Storage M.2 Expansion Fanless Windows 10,$249.99,$2.99 Shipping
ASUS,ASUS Mini CHROME OS Computer CHROMEBOX2-G013U Intel Core i3 5th Gen 5010U (2.10 GHz) 4 GB DDR3L 16 GB M.2 SSD Google Chrome OS,$358.89,Free Shipping
Corsair,Corsair Compact Gaming PC ONE PRO CS-9000015 Intel Core i7 7th Gen 7700K (4.20 GHz) 32 GB DDR4 2 TB HDD 480 GB M.2 SSD Windows 10 Home 64-Bit,$2499.99,Free Shipping
ASUS,ASUS G11DF Mid-Tower Gaming Desktop PCAMD Ryzen 7 1700 ProcessorGTX 1070 8GB 8GB 2400MHz DDR4 RAM256GB M.2 SSD + 1TB 7200RPM HDD storage combo Customizable RGB lighting Windows 10,$1199.99,Free Shipping
CyberpowerPC,CyberpowerPC Desktop Computer GM2006LQ Ryzen 7 1800X (3.60 GHz) 16 GB DDR4 3 TB HDD 480 GB SSD Windows 10 Home 64-Bit,$1749.99,$9.99 Shipping
ASUS,ASUS ROG STRIX GD30 Gaming Desktop NV GeForce GTX 1070 8GB Graphics Intel Core i7-7700 3.6GHz Processor 16GB DDR4 2800 MHz 256GB SSD + 1TB HDD Full size tower,$1399.99,Free Shipping
Intel,Intel Compute Stick BOXSTK2M3W64CC Ultra-slim PC Intel Core M m3-6Y30 (0.90 GHz) 4 GB DDR3 64 GB eMMC Intel HD Graphics 515 Windows 10 Home,$339.99,$9.99 Shipping
Acer America,Acer Desktop Computer Aspire TC-780-UR1E Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 256 GB SSD Windows 10 Home 64-Bit,$579.99,$4.99 Shipping
ASUS,ASUS Desktop Computer GR8 II-T044Z Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$849.99,$9.99 Shipping
